language,ordered_letters
english,etaoinsrhldcumfpgwybvkxjqz
spanish,eaosrnidlctumpbgyívqóhfzjéáñxúüwk
german,enisratdhulcgmobwfkzvüpäßjöyqx
french,esaitnrulodcmpévqfbghjàxèyêzçôùâûî
italian,eaionlrtscdupmvghfbqzòàùì
dutch,enatirodslghvkmubpwjczfxy
turkish,aeinrlıdkmuytsboüşzgçhğvcöpfjwxq
polish,iaeoznscrwyłdkmtpujlgębąhżśóćńfźvqx
esperanto,aieonlsrtkjudmpvgfbcĝĉŭzŝhĵĥwyxq
swedish,eantrslidomgkvähfupåöbcjyxwzéq
portuguese,aeosrinmdutlcphvqgfbãzçjáéxóõêôàyíèú
norwegian,erntsilakodgmvfupbhøjyaaæcwzx
icelandic,anriestudhlgmkfhvoáthídjóbyæúöpéýcxwzq
hungarian,eatlnskomzrigáéydbvhjo:fupöócu:íúüxw
slovak,aoesnitrvlkdmcupzyhjgfb
finnish,enatrsildokgmvfaauphäcböjyxzw
danish,enadtrslgiohmkvufbpøaejycéxqwèzüàóêçaaëä
czech,oeantivlsrdkupímcházyjbřêéĉžýŝũgfúňwďóxť
hawaiian,aiko’enuhlmâpôwêûî
maori,aiketonuhrmwgp
latin,eituasrnomcpldqbgvfhxyk
irish,aihnretscoldgumbáfíéúópvjwykqz
welsh,ayndreiloghwtfuscmbpâôy^w^jïêáqvî
gaelic,aihndercsgloutmbàfpo`ùéi`èó
